REG_HOLD_RISK,FM_UNMET_NEED,CURRENT_BALANCE,LAST_GPA,PREV_GPA,WI_GRADE_COUNT,DFW_GRADE_COUNT,FIRST_GENERATION_RISK,HIGH_SCHOOL_GPA
0,0,0,4,3.5,0,0,1,''
0,,254.33,3,2.446666667,3,15,0,''
1,,0,0,0,5,6,1,''
1,,1404,4,3.408888889,0,0,0,''
0,,0,4,3.67,0,0,0,'2.81'
0,,0,0,2.52,1,4,0,''
0,,0,4,4,0,0,0,''
0,,0,1.67,3,2,5,0,'3.11'
0,,0,4,4,0,0,1,''
0,,0,3.223333333,3.78,0,1,0,''
0,0,100,,,0,0,0,''
0,,0,3.665,4,0,0,1,''
0,,0,3.67,0,0,0,0,''
0,0,0,4,4,0,0,0,'3.1'
0,0,419.66,0,4,0,0,0,'3.30'
0,,0,4,4,0,0,0,''
1,23515,1670,2.67,3.518888889,1,8,1,'0'
0,,0,3.665,3.67,0,0,0,''
0,,0,4,4,0,0,0,''
0,,0,0,3.556666667,2,3,0,'3.97'
0,,0,,,0,0,0,''
0,,0,4,0,1,2,0,''
0,,0,3.67,3.835,0,0,1,'3.2'
0,,0,3.645333333,3.817272727,0,16,0,'3.02'
1,2195,1025,0,3,1,1,0,'2.96'
1,2824,1854.9,3.89,3.934,0,0,0,'2.50'
0,,0,4,3.335,1,3,0,''
0,,0,1.33,3.67,0,0,0,''
0,,0,,,0,2,0,'2.19'
0,,1173,0,4,0,0,0,''
0,,125,,,0,0,1,'2.69'
0,0,0,0,4,0,2,0,''
0,,0,0,0,4,4,0,''
0,,0,4,4,0,2,0,'2.97'
0,,0,,,0,0,0,''
0,,0,0,0,4,10,0,'3.0'
0,,0,4,4,0,1,0,''
0,,423,3.666666667,3.443333333,1,1,0,''
1,,544.53,2.5,2.67,1,19,0,''
0,,0,0,4,4,4,0,''
0,12753,0,4,4,0,0,0,''
0,0,100,4,,0,0,0,'3.51'
0,5614,123,3.5,4,1,0,1,'2.71'
